T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
0,123,23707,7,722368,0,0,167,4888,0,35243,4718,262986
0,103,46388,22,1618189,0,0,551,15825,0,14930,15438,739616
0,27,47959,22,1929809,0,0,932,18838,0,15506,13445,823863
0,160,29288,12,1178196,0,0,321,63003,0,4080,7233,572955
0,26,32249,4,774357,0,0,524,23840,0,21663,9730,443361
0,90,52910,11,1997966,0,0,639,25100,0,13473,13982,740262
0,45,44940,11,1844540,0,0,310,50510,0,15680,10848,828902
0,68,64146,20,2276902,0,0,1475,59645,0,14233,26687,1013208
0,100,42469,15,1608404,0,0,911,34963,0,8931,9986,797942
0,115,56465,22,2031719,0,0,1105,92977,0,10858,12230,1001287
0,53,36876,17,1822996,0,0,279,33220,0,8527,8995,669602
0,89,41251,10,1874022,0,0,146,33698,0,13853,9321,782437
0,159,39680,8,1588648,0,0,494,32885,0,15982,9995,707853
0,71,55913,14,2048158,0,0,522,49441,0,10325,11831,935031
0,53,33848,16,1112862,0,0,379,43595,0,5506,6960,594407
0,44,49085,12,1793537,0,0,1368,57999,0,6763,10617,744467
0,96,40900,12,1363364,0,0,474,28753,0,11758,7853,629388
0,79,66193,16,2008042,0,0,736,55037,0,8102,15404,926122
0,38,39049,8,1485225,0,0,542,53854,0,6129,9681,733733
0,41,30537,9,1349592,0,0,702,32578,0,10129,8509,605689
1,105,61458,27,2323412,0,0,506,33874,0,46004,13836,928111
2,42,58174,29,2222792,0,0,263,15069,0,16174,11950,834009
0,181,49261,20,2207907,0,0,418,50676,0,13272,9736,933634
0,0,55575,22,2169864,0,0,750,55782,0,25034,10653,948287
0,124,37782,12,1536324,0,0,399,37600,0,18780,10898,757478
2,101,45002,8,1396743,0,0,654,31632,0,7021,11335,575070
0,52,59981,16,2378233,0,0,774,42540,0,12861,12483,849260
0,192,48425,10,1918432,0,0,1048,50462,0,18103,15631,776154
0,29,64303,10,1833589,0,0,1327,71662,0,7122,15897,834599
1,234,30148,8,824648,0,0,373,209991,0,7473,7013,475979
0,39,39194,8,1119314,0,0,660,34422,0,6936,8228,521861
0,56,52518,8,1718817,0,0,576,75488,0,14898,13062,745917
0,94,42990,9,1884286,0,0,635,36917,0,36235,9562,722032
0,33,50604,9,1840743,0,0,806,22563,0,66598,10314,608048
0,1,25839,4,875226,0,0,698,18980,0,42691,7120,343981
2,51,26094,7,1004988,0,0,343,43341,0,11090,5493,447208
0,52,40605,5,1635399,0,0,470,43937,0,74546,6986,586431
1,88,31096,8,1169598,0,0,541,37795,0,55065,4791,447179
0,58,24041,6,995258,0,0,239,20886,0,45157,5217,278884
0,241,46861,5,1510762,0,0,580,67669,0,67419,9438,546117
0,13,62641,12,1740954,0,0,473,20289,0,40818,11632,564314
0,73,54606,12,1618966,0,0,419,24150,0,39938,10920,583140
0,80,30176,7,1064766,0,0,437,23462,0,28311,6940,397217
0,103,39155,11,1317706,0,0,370,31787,0,8617,6472,425079
0,33,35392,12,1473683,0,0,664,20434,0,5035,6564,654474
2,167,30641,6,1061642,0,0,787,37628,0,5139,6216,479455
2,101,37751,11,1035019,0,0,634,41905,0,4463,9260,453306
0,129,41776,3,1540172,0,0,769,104213,0,385,6626,614326
0,102,27150,4,996862,0,0,226,10746,0,239,5792,458516
0,75,32919,8,1149736,0,0,220,30657,0,327,7108,473225
0,95,33007,7,1228339,0,0,380,59242,0,1169,6178,560934
0,216,48579,6,2029499,0,0,458,56654,0,1553,10590,787777
0,6,32137,4,946947,0,0,367,50684,0,8198,6175,643576
0,62,26083,6,1084891,0,0,242,42777,0,199,5431,562565
0,213,44510,9,1668339,0,0,1176,40423,0,627,10325,682666
177,171,112239,26,3914585,0,0,790,30029,0,2259,25229,1511121
0,154,36515,15,1571914,0,0,1429,51754,0,270,11277,689757
0,31,30806,9,1244198,0,0,618,62751,0,317,7698,500128
0,107,41594,7,1388364,0,0,394,15527,0,228,9564,525452
1,49,26189,1,1319333,0,0,406,25594,0,114,6326,470571
2,68,35900,1,1482207,0,0,370,26619,0,188,6392,490782
0,168,30617,9,1157380,0,0,486,23068,0,137,6585,470646
0,20,25124,5,1138771,0,0,452,26136,0,152,4721,397157
0,25,17102,1,576196,0,0,220,21239,0,132,4141,283385
0,24,26157,4,978270,0,0,427,16172,0,221,5771,382004
0,96,14461,4,851633,0,0,612,24574,0,123,4637,396150
2,65,39532,10,1716715,0,0,546,30501,0,265,8883,573658
0,98,31429,2,1429749,0,0,786,50026,0,177,7770,591797
0,17,18602,1,691929,0,0,405,23712,0,109,3870,328887
0,48,33005,5,1473252,0,0,904,44120,0,334,8818,555864
0,108,32752,1,1109758,0,0,436,54914,0,178,8842,465127
0,52,34932,8,1499660,0,0,502,38011,0,257,9496,649118
0,138,24910,7,913814,0,0,540,30248,0,108,8547,421498
0,40,25984,1,835616,0,0,427,15168,0,117,5691,430769
2,143,23406,6,1134439,0,0,457,31679,0,193,8112,580141
0,113,27592,0,1251603,0,0,443,18049,0,887,8512,624873
0,18,30678,2,1242646,0,0,304,30102,0,682,8730,610286
0,248,32594,1,1263603,0,0,919,46521,0,131,13241,489513
0,87,43016,5,1395208,0,0,1737,68721,0,653,13169,684491
0,115,21125,3,1109578,0,0,543,29340,0,111,6107,502685
0,181,22301,3,954209,0,0,480,43891,0,363,6847,445468
0,13,10386,3,517487,0,0,178,26191,0,126,3067,178082
0,37,13122,2,587728,0,0,480,15806,0,122,3514,176827
0,128,24757,3,901675,0,0,371,21807,0,159,7475,315306
2,71,34665,8,1060050,0,0,810,19532,0,539,7787,542466
0,157,24735,3,1149827,0,0,878,28010,0,207,7751,481224
0,45,20310,2,786868,0,0,485,24893,0,755,7518,380193
0,70,19782,1,740890,0,0,335,13037,0,124,6180,384968
0,0,23868,3,1127816,0,0,644,21313,0,133,7638,499391
0,84,26057,3,1090683,0,0,392,25098,0,125,8326,520101
0,281,29632,5,1181181,0,0,567,32100,0,145,9305,588883
0,25,35111,5,1708700,0,0,1071,58270,0,337,10115,796479
0,27,14262,4,944962,0,0,181,23067,0,88,4274,475708
0,42,17263,4,901731,0,0,423,17693,0,93,7606,463428
0,96,25171,8,1226338,0,0,465,23851,0,826,6113,562264
0,62,31396,7,1600554,0,0,716,36184,0,398,7132,643710
0,156,30835,12,1412457,0,0,675,27527,0,466,7594,629143
0,50,16451,5,1088701,0,0,742,28140,0,107,5696,542196
0,156,32182,2,1441605,0,0,1352,56385,0,126,8349,572907
0,0,27040,3,1023776,0,0,535,34246,0,168,6331,431931
0,74,32584,3,1816342,0,0,1106,41241,0,435,8533,594300
0,25,19975,3,1067260,0,0,765,48836,0,143,4833,465882
0,0,23771,2,1002356,0,0,671,31961,0,122,8212,476034
2,91,19260,2,1114944,0,0,760,29479,0,123,6619,456858
0,71,22121,1,1013505,0,0,570,28651,0,533,6883,495033
0,99,24707,2,1077300,0,0,331,35813,0,528,7817,524246
0,21,17446,5,733314,0,0,377,36184,0,825,4477,369816
0,29,19227,1,671594,0,0,418,11734,0,61,6396,345020
0,88,41857,2,1582322,0,0,628,24813,0,657,11745,626644
0,290,50428,3,2172259,0,0,1478,67056,0,382,13469,711575
0,178,31727,4,1249717,0,0,352,35411,0,207,7816,481362
0,6,31048,4,1492613,0,0,800,33829,0,480,6971,500228
0,37,27571,1,1333046,0,0,1244,38546,0,187,5386,518239
0,84,33253,1,1697198,0,0,210,15962,0,115,8066,677811
0,88,38791,10,1664294,0,0,714,42382,0,361,11031,631785
0,105,30928,10,1684886,0,0,340,31976,0,180,7133,685166
0,37,19190,5,1221625,0,0,464,28066,0,333,4561,258279
0,86,29502,2,1135723,0,0,830,43793,0,231,8694,447921
0,73,39262,9,1527946,0,0,781,59105,0,647,8379,468253
0,0,45500,27,1843531,0,0,975,112163,0,671,9525,679853
0,82,32751,10,1368055,0,0,416,39612,0,256,10917,493238
0,17,23363,4,1390143,0,0,638,31844,0,685,5263,579633
0,82,26702,6,1494894,0,0,335,32516,0,606,6105,541402
0,17,24779,11,1313990,0,0,360,49203,0,752,4260,618000
0,39,32803,7,1341372,0,0,849,47453,0,527,8976,690514
0,0,33177,6,1455077,0,0,582,43459,0,572,6081,613141
0,0,33283,2,1084199,0,0,511,36908,0,750,6998,477521
0,127,45922,2,1330381,0,0,357,58744,0,1145,9345,523753
0,102,36072,6,1455892,0,0,730,81814,0,619,8321,608327
1,29,50035,15,1883467,0,0,557,37319,0,1675,9379,713812
0,108,25965,4,1228597,0,0,294,31056,0,459,5309,543276
0,72,16892,1,949049,0,0,247,20535,0,154,3132,442724
2,37,19282,3,867671,0,0,253,31049,0,268,4184,387282
0,59,23683,4,1063462,0,0,1286,50611,0,184,4564,404970
0,67,33347,2,1258195,0,0,1086,102163,0,156,7328,500011
2,223,23560,1,1046995,0,0,852,51763,0,234,7071,424017
0,0,34351,3,1774508,0,0,864,68198,0,239,7732,672217
0,137,50042,6,1852777,0,0,439,43981,0,1472,9176,676032
0,218,37361,4,1832423,0,0,695,62494,0,434,9233,710204
0,16,25195,17,1620046,0,0,737,46967,0,483,6258,611238
0,64,24200,4,1352268,0,0,754,48775,0,350,5071,508720
0,0,46947,4,1338217,0,0,678,53369,0,282,9295,497282
0,50,27830,8,1101341,0,0,738,31667,0,308,6968,403527
0,0,43198,9,1974048,0,0,851,70248,0,1252,8362,707304
0,0,17635,9,1386160,0,0,544,47184,0,100,4270,529317
0,50,40842,7,2012700,0,0,1238,42784,0,1113,10506,604325
0,162,24988,6,1283237,0,0,395,35606,0,459,5818,578045
0,168,40023,9,2113492,0,0,312,53363,0,397,7552,784616
0,36,25467,9,1307431,0,0,549,54296,0,767,5897,567140
0,240,55518,15,2208580,0,0,1245,48945,0,1291,13682,806761
0,187,56547,21,2304464,0,0,707,36033,0,783,10446,757866
1,85,68069,23,2434055,0,0,734,42982,0,2235,15180,918793
0,15,79432,34,2448151,0,0,647,80884,0,3698,14375,932675
0,318,123303,42,3813211,0,0,1977,94117,0,2683,25084,1400759
0,136,167216,97,4695892,0,0,1713,104352,0,11801,28143,1572759
