T1,T2,T3,T4,Q1,Q2,Q3,P1,P1Q,P2,P2Q,P3,P3Q
2,27461,121462,17,3145257,0,0,7654,310009,0,2893,93467,1653792
10,22699,103833,35,1859849,0,0,9280,233989,0,1698,78612,2433848
8,21230,88086,10,1563058,0,0,5902,156963,0,4240,63844,2092013
2,22636,106994,31,2023811,0,0,6702,184091,0,9128,83476,2594703
7,26912,132232,31,3591068,0,0,6049,211512,0,12656,98401,1977775
0,25333,128978,13,3826084,0,0,11988,381845,0,8273,94155,1979990
4,47759,240353,83,5308645,0,0,11641,371912,0,6528,166364,2837682
0,20741,94473,44,2211146,0,0,6908,169179,0,3677,80472,2878752
1,40514,199150,46,5350253,0,0,8493,218133,0,19197,164001,2761272
7,38202,186993,42,5030680,0,0,13239,484147,0,13064,137705,3067447
2,34083,159480,28,4582589,0,0,11403,333676,0,12321,120901,2569826
4,39403,181416,42,4962138,0,0,14289,305976,0,17895,144970,2993763
20,32150,167359,16,2148911,0,0,13473,194524,0,6097,126005,2986896
2,36355,182951,27,4299512,0,0,14409,392561,0,10914,140701,2370986
13,94370,489117,201,8612149,0,0,49420,826881,0,31635,316362,4983731
5,73445,361481,273,9054074,0,0,15735,521368,0,28192,236253,6788168
2,43211,183723,111,6075932,0,0,13004,387203,0,14976,136666,4037436
3,37953,188819,71,6181069,0,0,10370,282651,0,4731,132993,4042364
2,29715,149137,23,4652954,0,0,9301,310112,0,12429,113478,2636823
6,24208,109525,42,2906736,0,0,8592,228839,0,11420,83077,3631612
8,25741,111977,36,2837711,0,0,6965,196073,0,9343,86567,3513594
14,22619,102639,27,2225396,0,0,7203,204055,0,6420,77443,2811943
4,28741,110038,12,1916808,0,0,6768,172305,0,326,89829,2288456
8,24643,109568,20,2072264,0,0,5506,163362,0,5197,80367,2670886
2,23486,95077,17,2099349,0,0,6825,173761,0,160,75615,2629609
4,13258,49152,8,796295,0,2,1144,36116,0,429,41283,1020670
6,21994,114357,30,2329427,0,0,5551,134375,0,6458,90270,2773878
8,28591,159335,12,4558998,0,0,11602,282834,0,9209,123384,2317868
1,32680,144620,34,4918345,0,0,6866,145572,0,14536,111987,2594089
6,26072,124325,10,3642048,0,0,8054,200435,0,5115,92963,1889101
4,27642,117282,19,3390363,0,0,5247,134160,0,5460,86639,1679742
6,21005,92290,26,2059714,0,0,5816,133035,0,9900,75770,2706375
5,31146,172203,36,3113834,0,0,9025,147354,0,14532,130979,4335674
8,29492,156729,36,4357253,0,0,9645,268559,0,5956,112884,2163930
7,24076,125529,26,2244640,0,0,9531,128801,0,3456,96875,2707236
1,23320,141070,18,3243070,0,0,6525,106439,0,1770,101817,1647665
8,26595,141275,39,2221001,0,0,6715,108040,0,10729,108483,3068457
14,44778,234614,69,5325212,0,0,9167,214329,0,10155,168156,2717003
19,29489,183171,49,4491593,0,0,8769,271022,0,6428,123990,2270217
13,26296,155104,14,2982737,0,0,13268,145824,0,16377,115793,1457712
5,21077,109995,10,2034518,0,0,5299,87215,0,12882,85016,1100213
16,19209,78951,7,1226039,0,0,5645,96661,0,1342,75190,1617554
8,16256,67094,3,874179,0,0,4232,70173,0,897,59127,1197557
17,17632,72291,4,1163963,0,0,3838,77977,0,1548,62147,1541920
0,12462,47244,8,716161,0,0,4500,66800,0,807,43373,878609
6,14396,56979,4,797475,0,0,5235,62275,0,503,52102,1102169
4,19918,82751,17,1447218,0,0,4764,88605,0,1460,73084,2016052
0,19830,68968,10,1337112,0,0,3940,67204,0,1890,61250,1933573
13,21412,144582,27,2511282,0,0,10125,142108,0,2968,117636,1748288
8,27927,150225,25,3396906,0,0,8210,134156,0,8543,115026,1758797
4,25829,117709,27,1680186,0,0,6187,126909,0,14963,95654,2209479
1,24360,96573,24,1814082,0,0,5296,130738,0,16913,77850,2347203
4,25316,106157,33,2009200,0,0,6762,146821,0,13611,82846,2603259
0,17092,67623,11,1588998,0,0,4890,94232,0,11233,57945,2054546
4,20326,82129,18,1563722,0,0,5083,86652,0,10249,68916,2032595
7,26879,140066,36,4255012,0,0,6320,117107,0,3408,101881,2187845
2,24909,139419,30,3922938,0,0,4975,120197,0,2855,103389,1940417
4,18414,89426,21,1866271,0,0,6375,147686,0,5280,72108,2532123
4,21671,90461,17,1914114,0,0,7680,159615,0,2221,75829,2529428
4,21589,92736,11,2596436,0,0,6429,116394,0,1464,75378,1244744
5,19985,102799,12,2970077,0,0,7267,162569,0,1484,79925,1516525
14,29391,157852,23,4180316,0,0,11037,148288,0,4125,115072,2017213
2,23424,113191,13,3215933,0,0,5737,121195,0,3152,83704,1523371
8,22467,106182,4,2772100,0,0,4983,98511,0,914,82760,1346334
12,20852,113924,14,2479412,0,0,7290,121443,0,5762,92784,1608763
9,19053,78886,12,1864950,0,0,5921,123055,0,1747,68523,2365097
3,16990,70623,17,1701501,0,0,5998,98300,0,1362,59624,2120571
3,28422,127494,34,2213369,0,0,6325,73664,0,10092,100767,2736060
4,21753,113638,27,3016535,0,0,8289,172648,0,2592,84746,1762548
10,23498,130117,20,3591036,0,0,6860,128661,0,2595,100469,1827925
4,17943,101955,17,2970740,0,0,6765,144675,0,820,75073,1573603
4,20254,109349,10,2622694,0,0,10945,180399,0,1493,86240,1594193
2,16719,74006,20,1812722,0,0,4628,131722,0,2249,62170,2155335
10,15232,70418,13,1616357,0,0,4413,78865,0,765,59317,2068550
5,16857,72729,10,1660963,0,0,5001,111685,0,2034,62709,2106468
9,18991,84939,21,1523139,0,0,4584,99792,0,2108,70685,2025160
6,17770,88445,2,2548727,0,0,4361,86735,0,1980,68397,1286375
3,20138,81027,6,1433313,0,0,4701,82675,0,1414,68760,1865813
8,17206,103252,9,2760268,0,0,6447,104132,0,2676,75022,1268767
11,20073,115051,7,2659773,0,1,8893,155673,0,4009,94225,1680942
7,26948,141722,26,3501753,0,0,5767,92491,0,3061,102192,1649460
5,17628,102211,14,2875967,0,0,8903,159309,0,1953,68300,1386219
8,22819,107258,14,1775585,0,0,6605,133901,0,2301,82813,2170814
2,19153,80501,9,1784337,0,0,5200,119496,0,1476,63195,2121458
1,23081,121570,15,2102210,0,0,5718,128896,0,1562,93402,2563802
2,21229,119128,12,2107647,0,0,12709,208380,0,2783,95117,2452504
4,21475,96314,8,2273083,0,0,5728,112495,0,1929,73043,1390974
2,24043,122165,13,2712642,0,0,8138,164485,0,1848,89486,1226952
14,34556,160653,16,2114786,0,0,11124,193294,0,2822,121535,2476487
14,27891,112807,23,1989336,0,0,6628,190250,0,2859,85041,2284072
5,20601,95836,6,3129754,0,0,6156,145795,0,3034,78217,1442296
2,20329,76505,6,1575658,0,0,6589,126708,0,2318,65654,1905817
0,20222,83363,16,1715763,0,0,6013,115817,0,2196,66689,1968801
5,20517,105317,16,2037586,0,0,8547,142062,0,2778,86310,2443011
8,21582,107503,27,2171104,0,0,6812,180772,0,3947,89044,2491221
10,19890,110373,21,3142943,0,0,10371,171075,0,4116,84640,1715751
0,18335,80518,6,1497830,0,0,4790,94046,0,1925,61539,1560892
1,21712,90609,19,1941102,0,0,6147,134226,0,3217,66591,2102561
4,31818,141085,13,2928957,0,0,9353,165966,0,4587,106973,1481955
1,25658,101255,18,1649091,0,0,6117,145911,0,3388,84969,2004357
6,24192,97005,12,1255891,0,0,13267,168942,0,2357,77204,1560738
12,18928,71121,9,1365064,0,0,5547,88694,0,2393,60976,1661540
2,42186,206876,75,5067821,0,0,9337,159959,0,10289,168653,2763206
0,28752,144380,31,3392976,0,0,8848,173906,0,5034,111354,1891387
13,28805,154003,29,3433925,0,0,9603,191026,0,3038,128342,1911734
4,36737,169169,35,3320054,0,0,15252,194182,0,5181,125259,1902937
14,29640,139064,29,2829772,0,0,9146,135228,0,4286,98394,1570436
2,30443,129200,23,2549967,0,0,8853,162726,0,4302,95950,1364198
4,19916,86220,13,2138506,0,0,5137,103122,0,3133,72599,1178203
6,17630,81193,6,2167661,0,0,4740,91841,0,2329,65912,1130043
8,19159,89331,10,1412270,0,0,9503,156140,0,3017,76107,1731613
4,29489,128686,31,3311561,0,0,7390,127621,0,4625,99713,1847982
2,18353,86978,12,2784851,0,0,7082,125539,0,3423,69468,1457551
6,32784,179737,63,3609840,0,0,11376,187410,0,7269,125276,1851444
4,24128,106437,32,2267159,0,0,8787,170459,0,5829,90537,2950899
3,21291,111171,25,2706188,0,0,12337,238271,0,5374,79547,1495332
4,21179,95926,15,2677445,0,0,6093,98034,0,4279,77108,1459242
9,30990,149639,50,4155517,0,0,7803,125006,0,8560,103648,2280584
2,25113,123370,27,3298797,0,0,8776,133120,0,3133,92628,1807842
2,26462,145830,37,3602541,0,0,14400,175830,0,5687,103868,1900778
2,21818,93819,17,1468958,0,0,7012,115640,0,3468,78217,1855080
10,24633,113535,16,3090163,0,0,8607,122967,0,5647,86080,1693567
2,24611,115983,11,2952199,0,0,7179,115844,0,3903,88778,1579444
