timestamp,open,high,low,close,volume
11/10/2005,91.84,91.92,91.45,91.59,679100
10/10/2005,91.85,91.97,91.62,91.78,159700
07/10/2005,91.09,91.95,90.96,91.84,1337800
06/10/2005,91.7,91.74,91.44,91.47,340000
05/10/2005,91.68,91.98,91.57,91.82,1215800
04/10/2005,91.37,91.54,91.21,91.42,783200
03/10/2005,91.79,92.2,91.1,91.12,1370900
30/09/2005,92.58,92.69,92,92.2,1391800
29/09/2005,92.6,92.61,92.36,92.52,657100
28/09/2005,92.39,93.02,92.26,92.94,712800
27/09/2005,92.27,92.56,91.94,92.32,827800
26/09/2005,92.11,92.38,92.1,92.19,680900
23/09/2005,93.05,93.1,92.61,92.61,656800
22/09/2005,93.37,93.45,93.13,93.31,761700
21/09/2005,93.28,93.41,93.13,93.4,993000
20/09/2005,92.29,92.8,91.88,92.54,1848800
19/09/2005,92.18,92.44,92.1,92.3,886100
16/09/2005,92.3,92.48,91.88,92.1,2145500
15/09/2005,93.35,93.35,92.4,92.71,2225800
14/09/2005,93.82,93.88,93.38,93.48,346400
13/09/2005,93.76,94.12,93.64,93.84,450400
12/09/2005,93.66,93.71,93.19,93.35,917300
09/09/2005,93.96,94.32,93.88,94,426400
08/09/2005,93.89,93.98,93.6,93.7,373100
07/09/2005,94.18,94.18,93.36,93.6,1090200
06/09/2005,95.01,95.17,94.48,94.49,967600
02/09/2005,94.88,95.29,94.8,95.16,621400
01/09/2005,95.31,95.74,94.93,95.08,1899000
31/08/2005,95.31,96,95.3,95.99,1310800
30/08/2005,94.83,95.35,94.72,95.19,1392700
29/08/2005,94.83,94.88,94.5,94.59,550100
26/08/2005,94.65,94.88,94.2,94.47,874600
25/08/2005,94.28,94.61,94.06,94.5,812400
24/08/2005,94.27,94.33,93.85,94.2,998200
23/08/2005,93.73,94.23,93.65,94.11,491800
22/08/2005,93.54,93.8,93.2,93.68,599300
19/08/2005,93.36,93.84,93.34,93.78,439200
18/08/2005,93.45,93.81,93.27,93.79,995300
17/08/2005,93.51,93.73,92.98,93.1,1287600
16/08/2005,93.68,93.9,93.5,93.72,1311000
15/08/2005,93.26,93.3,93.05,93.07,1105400
12/08/2005,92.62,93.44,92.57,93.31,1765100
11/08/2005,92.03,92.45,91.7,92.37,881900
10/08/2005,92.01,92.1,91.54,91.73,1069300
09/08/2005,91.7,91.85,91.28,91.83,1474800
08/08/2005,91.68,91.85,91.44,91.49,988400
05/08/2005,91.7,91.87,91.554,91.66,1066700
04/08/2005,92.59,92.79,92.2,92.38,1046800
03/08/2005,92.25,92.66,92.25,92.57,591100
02/08/2005,92.27,92.46,91.96,92.12,1071400
01/08/2005,92.5,92.6,92.02,92.42,1760300
29/07/2005,93.8,93.8,92.85,93.11,1699900
28/07/2005,93.38,94.17,93.38,94.04,578900
27/07/2005,93.07,93.27,93.01,93.21,843300
26/07/2005,93.27,93.41,93.17,93.36,340500
25/07/2005,93.4,93.71,93.14,93.21,305100
22/07/2005,93.1,93.62,93.03,93.55,1615200
21/07/2005,93.48,93.54,92.68,92.83,3824200
20/07/2005,93.51,94.24,93.18,94.11,1984700
19/07/2005,93.23,93.72,93.12,93.6,1227200
18/07/2005,93.85,93.97,93.1,93.27,1204500
15/07/2005,93.5,94.03,93.5,93.97,1064800
14/07/2005,94.1,94.14,93.6,93.72,874800
13/07/2005,94.05,94.1,93.86,93.96,886600
12/07/2005,94.35,94.53,94.06,94.1,743700
11/07/2005,94.11,94.65,93.95,94.63,982000
08/07/2005,95.25,95.25,94.32,94.63,1259300
07/07/2005,95.43,95.55,94.96,95.02,1673000
06/07/2005,94.63,94.83,94.43,94.82,854100
05/07/2005,94.35,94.74,94.27,94.3,1076100
01/07/2005,96.04,96.26,94.99,95.2,2225900
30/06/2005,95.86,96.72,95.81,96.7,2159400
29/06/2005,96.47,96.48,95.6,95.84,1682400
28/06/2005,96.32,96.37,95.91,95.99,982400
27/06/2005,96.49,96.81,96.35,96.65,1211000
24/06/2005,96.24,96.45,96.02,96.39,930700
23/06/2005,95.8,95.98,95.54,95.91,996300
22/06/2005,95.49,96.09,95.26,96.01,952300
21/06/2005,94.38,94.86,94.32,94.86,503100
20/06/2005,93.82,94.2,93.6,94.17,454000
17/06/2005,94.11,94.47,94.02,94.33,555900
